DELETIONFLAG;GLN;MITGLIEDSNUMMER;MODELLNR;GTIN;MODELLBEZ;MARKENNR;MARKENBEZ;SUBMARKE;PRODUKTGRUPPE;WARENGRUPPE;FARBNR;FARBBEZ;SYSTEMFARBE;GROESSENNR;GROESSE;GROESSENLAUF;AUSWERTUNGSGROESSE;VK-PREIS;LISTEN-PREIS;WAEHRUNG;STEUER;ARTNR1;ARTNR2;ARTKURZBEZ;FOTO;ARTSTATUS;VERFUEGBESTAND
0;4399901690509;502302900;00003566;4054583546574;Kleid;238;CHIEMSEE 238;CHIEMSEE;1812612;Beach T-Shirts D;194104;EBONY;*;617;XL;14.05-Bekleid. Da 3XS-8XL;;69,95000;29,20000;EUR;3;;;;;Aktuell;2,00000
0;4399901690509;502302900;00003566;4054583546567;Kleid;238;CHIEMSEE 238;CHIEMSEE;1812612;Beach T-Shirts D;194104;EBONY;*;612;L;14.05-Bekleid. Da 3XS-8XL;;69,95000;29,20000;EUR;3;;;;;Aktuell;4,00000
0;4399901690509;502302900;00003566;4054583546550;Kleid;238;CHIEMSEE 238;CHIEMSEE;1812612;Beach T-Shirts D;194104;EBONY;*;603;M;14.05-Bekleid. Da 3XS-8XL;;69,95000;29,20000;EUR;3;;;;;Aktuell;4,00000
0;4399901690509;502302900;00003566;4054583546536;Kleid;238;CHIEMSEE 238;CHIEMSEE;1812612;Beach T-Shirts D;194104;EBONY;*;589;XS;14.05-Bekleid. Da 3XS-8XL;;69,95000;29,20000;EUR;3;;;;;Aktuell;2,00000
0;4399902245876;502308900;000993;3468335974354;G REN ONE PIECE;152;ARENA 152;ARENA;1812223;Schwimmanzüge K;508;BLACK-PIX BLUE-TURQU;*;2339;140;15.01-Bekleid.KleinKi/Ki62-206;;28,00000;11,66000;EUR;3;;;;;Aktuell;1,00000
0;4399901690509;502302900;000994;3468335974514;G REN TWO PIECES;152;ARENA 152;ARENA;1812013;Bikinis K;508;BLACK-PIX BLUE-TURQU;*;2324;128;15.01-Bekleid.KleinKi/Ki62-206;;27,99000;12,17000;EUR;3;;;;;Aktuell;7,00000
0;4260482470081;502305;000994;3468335974514;G REN TWO PIECES;152;ARENA 152;ARENA;1812013;Bikinis K;508;BLACK-PIX BLUE-TURQU;*;2324;128;15.01-Bekleid.KleinKi/Ki62-206;;27,99000;12,17000;EUR;3;;;;;Aktuell;1,00000
0;4399902245876;502308900;000994;3468335974514;G REN TWO PIECES;152;ARENA 152;ARENA;1812013;Bikinis K;508;BLACK-PIX BLUE-TURQU;*;2324;128;15.01-Bekleid.KleinKi/Ki62-206;;27,99000;12,17000;EUR;3;;;;;Aktuell;7,00000
0;4399902245876;502308900;000994;3468335974590;G REN TWO PIECES;152;ARENA 152;ARENA;1812013;Bikinis K;508;BLACK-PIX BLUE-TURQU;*;2353;152;15.01-Bekleid.KleinKi/Ki62-206;;27,99000;11,66000;EUR;3;;;;;Aktuell;1,00000
0;4260482470081;502305;000994;3468335974552;G REN TWO PIECES;152;ARENA 152;ARENA;1812013;Bikinis K;508;BLACK-PIX BLUE-TURQU;*;2339;140;15.01-Bekleid.KleinKi/Ki62-206;;27,99000;11,66000;EUR;3;;;;;Aktuell;1,00000
0;4399902245876;502308900;000994;3468335974552;G REN TWO PIECES;152;ARENA 152;ARENA;1812013;Bikinis K;508;BLACK-PIX BLUE-TURQU;*;2339;140;15.01-Bekleid.KleinKi/Ki62-206;;27,99000;11,66000;EUR;3;;;;;Aktuell;4,00000
0;4399902245876;502308900;000994;3468335974637;G REN TWO PIECES;152;ARENA 152;ARENA;1812013;Bikinis K;508;BLACK-PIX BLUE-TURQU;*;2382;164;15.01-Bekleid.KleinKi/Ki62-206;;27,99000;12,17000;EUR;3;;;;;Aktuell;2,00000
0;4399901690509;502302900;000994;3468335974477;G REN TWO PIECES;152;ARENA 152;ARENA;1812013;Bikinis K;508;BLACK-PIX BLUE-TURQU;*;1020;116;15.01-Bekleid.KleinKi/Ki62-206;;27,99000;12,17000;EUR;3;;;;;Aktuell;2,00000
0;4399902245876;502308900;000995;3468335974750;B REN SHORT;152;ARENA 152;ARENA;1812313;Boyshort K;5  0  8;BLACK-PIX BLUE-TURQU;*;2339;140;15.01-Bekleid.KleinKi/Ki62-206;;22,99000;9,58000;EUR;3;;;;;Aktuell;5,00000
0;4399902245876;502308900;000995;3468335974798;B REN SHORT;152;ARENA 152;ARENA;1812313;Boyshort K;5 08;BLACK-PIX BLUE-TURQU;*;2353;152;15.01-Bekleid.KleinKi/Ki62-206;;22,99000;9,58000;EUR;3;;;;;Aktuell;2,00000
0;4399901690509;502302900;000995;3468335974835;B REN SHORT;152;ARENA 152;ARENA;1812313;Boyshort K;5 08;BLACK-PIX BLUE-TURQU;*;2382;164;15.01-Bekleid.KleinKi/Ki62-206;;22,99000;9,58000;EUR;3;;;;;Aktuell;2,00000
0;4399902245876;502308900;000995;3468335974835;B REN SHORT;152;ARENA 152;ARENA;1812313;Boyshort K;5 08;BLACK-PIX BLUE-TURQU;*;2382;164;15.01-Bekleid.KleinKi/Ki62-206;;22,99000;9,58000;EUR;3;;;;;Aktuell;1,00000
0;4399902245876;502308900;000995;3468335974712;B REN SHORT;152;ARENA 152;ARENA;1812313;Boyshort K;5 08;BLACK-PIX BLUE-TURQU;*;2324;128;15.01-Bekleid.KleinKi/Ki62-206;;22,99000;10,00000;EUR;3;;;;;Aktuell;4,00000
0;4399901690509;502302900;000996;3468335974897;B LOGO JR JAMMER;152;ARENA 152;ARENA;1812723;Beach Hosen lang K;508;BLACK-PIX BLUE;*;2324;128;15.01-Bekleid.KleinKi/Ki62-206;;27,99000;13,31000;EUR;3;;;;;Aktuell;1,00000
0;4399902245876;502308900;000996;3468335974897;B LOGO JR JAMMER;152;ARENA 152;ARENA;1812723;Beach Hosen lang K;508;BLACK-PIX BLUE;*;2324;128;15.01-Bekleid.KleinKi/Ki62-206;;27,99000;13,31000;EUR;3;;;;;Aktuell;1,00000
